,location.postalCode,location.lat,location.lng,categories
61,M5S,43.663798,-79.388592,Government Building
62,M5S,43.66370487806372,-79.39035973089369,General College & University
63,M5S,43.662338,-79.387238,Medical Center
64,M5S,43.66328180793338,-79.3881935242235,Government Building
65,M5S,43.66235,-79.38889,Medical Lab
66,M7a,43.663492904944746,-79.38689047699962,Government Building
67,M5N,43.661093919840376,-79.38740729961323,Government Building
68,M5S,43.6606253361808,-79.38821001837454,College Science Building
70,M5S,43.66082870666136,-79.38842444207054,School
71,M7A,43.661136393726835,-79.39107995588529,Bike Shop
72,M5S,43.661369761309004,-79.3876712079196,Hospital
73,M5S,43.66088,-79.38961,College Classroom
74,M5S,43.66259,-79.390162,Art Gallery
75,M5S,43.662147535891,-79.39044769760552,Athletics & Sports
76,M5S,43.664082696038314,-79.39007383850254,Church
77,M5S,43.663850499496256,-79.39050817467137,Event Space
78,M5S,43.662093,-79.386764,Lounge
79,M5S,43.66296120241232,-79.38813854369877,Men's Store
0,M9A,43.662724,-79.531984,Grocery Store
1,M9R,43.69332147644692,-79.54500675201415,Bus Line
2,M9A,43.66261966170492,-79.53214635053152,Shopping Mall
3,M9A,43.664940367690775,-79.5204847956449,Bakery
4,M8X,43.64534925949279,-79.52416874781369,Metro Station
5,M9A,43.66227280880637,-79.5192342745383,Coffee Shop
6,L6A,43.66982728756434,-79.51992273330688,Auto Dealership
7,M9A,43.66218,-79.528462,Music Venue
8,M9A,43.663067,-79.531753,Pharmacy
9,L4W,43.66324037616805,-79.52445532126869,Capitol Building
10,M9A,43.66529498541197,-79.5205020904541,Cupcake Shop
11,M9B,43.66763448694602,-79.54384359560106,Factory
12,M9A,43.658188879410105,-79.52709592619891,Pharmacy
